Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
244,North Dakota,Sum,6-Apr,-6.18,96.8,103,70,-0.076,4.05,101.5,97.4,4.05
245,Lamar,Slnd,4-Apr,-6.22,95.3,101.5,69.9,-0.044,4.86,101,96.1,4.86
246,Portland St.,BSky,5-Mar,-6.24,101.9,108.2,72.3,-0.107,1.72,101.1,99.4,1.72
247,Louisiana Monroe,SB,2-Apr,-6.26,98.3,104.6,64.2,0.135,-5.9,95.4,101.3,-5.9
248,UMBC,AE,4-May,-6.37,94.8,101.2,67.7,-0.011,-1.07,99.2,100.2,-1.07
249,Drexel,CAA,4-May,-6.4,98.2,104.6,70.7,0.092,-3.27,97.2,100.5,-3.27
250,Jacksonville,ASun,6-Apr,-6.43,93.7,100.1,65.5,-0.084,1.28,100.1,98.8,1.28
251,UMKC,WAC,5-May,-6.45,95,101.4,66.5,0.151,3.83,101.7,97.9,3.83
252,Saint Joseph's,A10,7-Feb,-6.55,98.7,105.2,75.6,0.021,3.64,101.4,97.7,3.64
253,Montana St.,BSky,3-Jun,-6.96,96.8,103.8,68.3,0.16,0.47,100.1,99.7,0.47
254,Youngstown St.,Horz,4-May,-7,98.4,105.4,68.9,0.122,-1.98,98.5,100.5,-1.98
255,Morehead St.,OVC,4-May,-7.05,95.9,103,69.7,0.015,-2.66,98.2,100.8,-2.66
256,Army,Pat,3-Apr,-7.09,94.7,101.8,73.2,0.121,-5.88,99.2,105.1,-5.88
257,Cal St. Fullerton,BW,6-Mar,-7.14,91.8,98.9,68.3,0.002,1.54,100.5,98.9,1.54
258,Arkansas St.,SB,2-Jun,-7.16,98.1,105.3,68.5,0.195,-6.72,96.8,103.5,-6.72
259,Cal St. Bakersfield,WAC,6-Apr,-7.19,94.8,102,67.3,-0.099,1.58,102.9,101.3,1.58
260,Louisiana,SB,3-May,-7.22,98.3,105.5,73,0.112,-6.72,96.1,102.9,-6.72
261,Southern Miss,CUSA,7-Feb,-7.24,95.3,102.5,66.4,-0.077,11.1,107.3,96.2,11.1
262,Fairfield,MAAC,6-Feb,-7.25,94.1,101.3,62.1,-0.016,3.06,102.4,99.3,3.06
263,Manhattan,MAAC,3-Mar,-7.29,92.5,99.8,67.4,0.112,-3.48,97.7,101.1,-3.48
264,James Madison,CAA,4-May,-7.36,99.4,106.7,76.9,0.185,-2.3,96.3,98.6,-2.3
265,LIU,NEC,6-Feb,-7.39,97.9,105.3,75,-0.047,1.74,101,99.2,1.74
266,Fairleigh Dickinson,NEC,5-Feb,-7.39,98.7,106.1,67.5,0.018,4.84,102.1,97.3,4.84
267,Bryant,NEC,4-Jun,-7.58,95.1,102.7,72.7,-0.059,-6.85,95.5,102.3,-6.85
268,Tennessee St.,OVC,3-Jun,-7.68,95,102.7,71.4,0.034,-5.82,96.6,102.4,-5.82
269,Prairie View A&M,SWAC,5-Mar,-7.89,93,100.9,71.4,0.003,4.57,102.4,97.8,4.57
270,Navy,Pat,4-Apr,-7.96,94.4,102.4,61.7,-0.047,-2.28,98.7,100.9,-2.28
271,UMass Lowell,AE,6-Apr,-8,100.3,108.3,69.6,-0.08,-7.12,95.5,102.6,-7.12
272,East Carolina,Amer,7-Feb,-8.04,97.9,106,69.9,-0.134,-4.2,97.4,101.6,-4.2
273,Quinnipiac,MAAC,4-Feb,-8.05,99.4,107.5,69.9,-0.093,-3.89,99.4,103.3,-3.89
274,UT Rio Grande Valley,WAC,5-Apr,-8.21,91.9,100.1,71.1,0.034,-4.77,96.8,101.6,-4.77
275,Weber St.,BSky,5-Feb,-8.25,96.4,104.6,67,-0.07,3.18,102.4,99.2,3.18
276,Texas Southern,SWAC,6-Feb,-8.27,94.8,103.1,75.8,0.104,12.75,105.5,92.7,12.75
277,Western Michigan,MAC,5-Apr,-8.44,97.7,106.1,67.3,0.049,-0.85,98.2,99,-0.85
278,Long Beach St.,BW,6-Mar,-8.59,95.9,104.5,72.9,0.054,10.78,105.8,95,10.78
279,North Alabama,ASun,5-Apr,-8.76,92.5,101.2,68.3,-0.006,0.26,100.5,100.3,0.26
280,IUPUI,Horz,7-Feb,-9.16,96,105.2,69.1,-0.123,2.36,100.6,98.2,2.36
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
281,New Orleans,Slnd,5-Mar,-9.41,94.7,104.1,70.9,-0.025,17.03,110.1,93,17.03
282,UNC Wilmington,CAA,5-May,-9.69,95.3,105,67.7,0.071,5.1,101.8,96.7,5.1
283,Abilene Christian,Slnd,5-Mar,-9.72,93.8,103.5,67.6,-0.096,1.53,102,100.5,1.53
284,Western Illinois,Sum,6-Feb,-9.82,99.7,109.6,73.9,-0.161,-1.25,100,101.3,-1.25
285,Bethune Cookman,MEAC,4-May,-9.83,94.1,103.9,71.2,-0.039,1.93,100.5,98.6,1.93
286,Charleston Southern,BSth,5-Mar,-9.93,92.9,102.8,69.4,0.102,6.72,102.2,95.5,6.72
287,Cornell,Ivy,6-Jan,-9.97,96.6,106.6,64.8,-0.208,-0.96,98.7,99.7,-0.96
288,Merrimack,NEC,5-May,-10.05,92.4,102.5,64.7,0.149,1.51,99.2,97.7,1.51
289,Central Arkansas,Slnd,7-Jan,-10.13,95.6,105.7,76.9,-0.1,12.14,105.2,93,12.14
290,Wyoming,MWC,6-Mar,-10.17,89.7,99.9,64.5,-0.039,-2.42,99,101.4,-1.58
291,UC Davis,BW,7-Mar,-10.19,95.9,106,67,-0.09,-2.09,98.9,101,-2.09
292,New Hampshire,AE,4-May,-10.62,92.2,102.8,71,-0.032,-5.29,97.6,102.9,-5.29
293,Detroit,Horz,6-Jan,-10.76,98.7,109.5,74,0.019,6.24,102.6,96.3,6.24
294,Hampton,BSth,6-Mar,-10.78,98.1,108.9,71.4,-0.101,3.17,103.9,100.7,3.17
295,Robert Morris,NEC,8-Feb,-10.91,93.5,104.4,66.6,-0.142,3.26,101,97.8,3.26
296,Coppin St.,MEAC,6-Apr,-11.07,90.4,101.5,77.8,0.027,2.38,101.5,99.1,2.38
297,Houston Baptist,Slnd,0-6,-11.13,97.8,108.9,80.5,-0.024,16.83,108.8,91.9,16.83
298,St. Francis NY,NEC,5-Mar,-11.13,93.5,104.6,73,0.079,-0.96,98.6,99.6,-0.96
299,McNeese St.,Slnd,6-Mar,-11.18,96.9,108.1,70.9,-0.12,9.98,106.1,96.1,9.98
300,Southeast Missouri St.,OVC,5-Mar,-11.28,93.9,105.2,70.5,-0.045,-5.28,97.5,102.8,-5.28
301,Grambling St.,SWAC,4-Apr,-11.44,92.5,103.9,71.6,-0.059,-2.23,100.4,102.6,-2.23
302,Longwood,BSth,5-Apr,-11.61,93.6,105.2,69.3,-0.112,-4.73,94.8,99.6,-4.73
303,Troy,SB,6-Mar,-11.68,94.1,105.8,71.1,-0.104,-2.71,97.3,100,-2.71
304,Morgan St.,MEAC,7-Mar,-11.75,93.6,105.3,70.3,-0.045,3.8,101.1,97.3,3.8
305,Norfolk St.,MEAC,7-Mar,-11.84,92,103.9,68.3,-0.031,3.55,100.5,97,3.55
306,Eastern Kentucky,OVC,5-Mar,-12.01,91,103,78.7,-0.034,-3.34,97.3,100.7,-3.34
307,Binghamton,AE,5-Apr,-12.05,97,109,68.4,0.074,0.02,101.5,101.4,0.02
308,Tennessee Martin,OVC,5-Mar,-12.24,103.4,115.6,66.7,0.095,3.95,102.9,98.9,3.95
309,The Citadel,SC,5-Mar,-12.29,98,110.3,75.1,0.081,-0.55,100.8,101.3,-1.97
310,VMI,SC,7-Mar,-12.32,94.5,106.9,66.7,-0.049,-6.31,96.2,102.5,-9.11
311,Texas A&M Corpus Chris,Slnd,5-Mar,-12.33,91.1,103.4,63.2,0.03,-2.44,98.4,100.8,-2.44
312,Florida Gulf Coast,ASun,9-Feb,-12.97,88.8,101.7,68.6,0.014,-1.25,98.2,99.4,-1.25
313,Denver,Sum,5-Apr,-13.01,91.7,104.7,69.3,0.097,-2.29,97.8,100.1,-2.29
314,Stetson,ASun,5-May,-13.23,94.1,107.3,63.4,0.111,0.37,100.9,100.6,0.37
315,Hartford,AE,6-Apr,-13.26,91.6,104.8,69.9,-0.086,-5.86,95.8,101.7,-5.86
316,Idaho St.,BSky,4-Mar,-13.41,93.6,107,66.9,-0.014,3.99,102.8,98.8,3.99
317,Maine,AE,6-Feb,-13.59,91.1,104.7,64.9,-0.054,10.86,103.8,92.9,10.86
318,Tennessee Tech,OVC,6-Mar,-13.98,89.1,103.1,65.8,0.018,2.08,100.4,98.3,2.08
319,Cleveland St.,Horz,5-Apr,-14,88.4,102.5,70.5,0.122,-0.69,98.9,99.6,-0.69
320,Northern Arizona,BSky,2-Mar,-14.05,95.1,109.1,67.5,0.133,0.65,102.8,102.2,0.65
,,,,,,,,,Strength of Schedule,,,NCSOS
Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
321,Alabama St.,SWAC,6-Jan,-14.15,88.7,102.8,70.7,0.012,12.29,106.2,93.9,12.29
322,Elon,CAA,7-Mar,-14.18,92,106.1,67.5,-0.155,2.67,99.6,97,2.67
323,North Carolina A&T,MEAC,6-Mar,-14.38,86,100.4,69.7,0.042,-0.98,98.5,99.5,-0.98
324,Presbyterian,BSth,6-Feb,-14.48,93.7,108.2,64.9,0.024,0.37,100.4,100,0.37
325,Holy Cross,Pat,7-Jan,-14.58,95.6,110.1,69.7,-0.107,-0.1,100.7,100.8,-0.1
326,Saint Peter's,MAAC,4-Jan,-15,87.7,102.7,66.4,-0.034,-5.11,96.6,101.7,-5.11
327,Southeastern Louisiana,Slnd,6-Mar,-15.18,90,105.1,75.2,-0.012,0.63,101.1,100.5,0.63
328,North Carolina Central,MEAC,7-Feb,-15.27,89.5,104.7,69,0.013,6.3,103.2,96.9,6.3
329,Wagner,NEC,5-Feb,-15.37,93.2,108.6,72.2,0.053,7.42,102.7,95.3,7.42
330,Alcorn St.,SWAC,5-Feb,-15.59,88.7,104.2,72.9,-0.071,13.31,106.9,93.6,13.31
331,Cal Poly,BW,7-Jan,-15.75,92.5,108.2,69.3,-0.034,7.45,105.8,98.4,7.45
332,San Jose St.,MWC,6-Mar,-15.9,89.7,105.5,72.8,0.063,3.39,103.7,100.3,2.14
333,Jackson St.,SWAC,8-Jan,-15.9,89.4,105.3,71.3,-0.002,3.91,103.3,99.4,3.91
334,Niagara,MAAC,5-Jan,-16.08,92.4,108.5,67.3,-0.034,-0.2,99.4,99.6,-0.2
335,Idaho,BSky,6-Mar,-17.11,89.7,106.8,71.2,0.041,-4.89,97.2,102.1,-4.89
336,High Point,BSth,7-Feb,-17.3,89.3,106.6,67.9,0.061,1.65,101.5,99.8,1.65
337,Southern,SWAC,5-Mar,-17.34,91.4,108.8,68.8,0.039,3.91,102.8,98.9,3.91
338,Florida A&M,MEAC,0-7,-17.91,87.4,105.3,70.3,-0.022,12.33,105.8,93.5,12.33
339,Marist,MAAC,4-Jan,-17.96,87.3,105.3,63.3,-0.009,-10.67,93.9,104.5,-10.67
340,SIU Edwardsville,OVC,7-Feb,-18.42,90.7,109.1,69.5,0.032,-3.38,99,102.3,-3.38
341,Arkansas Pine Bluff,SWAC,6-Jan,-18.46,85.1,103.5,69.5,-0.02,13.32,104.9,91.6,13.32
342,South Carolina St.,MEAC,5-Feb,-19.5,92.8,112.3,67.1,0,11.79,106.7,94.9,11.79
343,Northwestern St.,Slnd,5-Feb,-19.68,88.8,108.5,72.1,-0.046,3.07,101.8,98.7,3.07
344,USC Upstate,BSth,7-Feb,-20.02,87.9,107.9,69.9,-0.004,2.91,100.7,97.8,2.91
345,Kennesaw St.,ASun,0-7,-20.37,87.1,107.5,69.2,-0.001,2.6,100.8,98.2,2.6
346,Howard,MEAC,9-Jan,-21.75,92,113.7,70.9,0.066,1.33,100.3,99,1.33
347,Alabama A&M,SWAC,5-Jan,-23.42,86.3,109.7,69.6,0.029,3.9,101.2,97.3,3.9
348,Incarnate Word,Slnd,7-Feb,-23.71,88.4,112.1,68.1,-0.057,-4.09,96.8,100.9,-4.09
349,Maryland Eastern Shore,MEAC,0-10,-24.57,83,107.6,68.8,0,10.43,104.9,94.4,10.43
350,Central Connecticut,NEC,0-8,-24.85,86.2,111.1,70.5,-0.041,0.49,99.6,99.1,0.49
351,Chicago St.,WAC,7-Apr,-25.33,87.7,113,73.6,-0.05,-1.35,98.2,99.6,-1.35
352,Delaware St.,MEAC,9-Jan,-26.17,86.4,112.5,74.3,-0.055,0.39,101.2,100.8,0.39
353,Mississippi Valley St.,SWAC,8-Jan,-28.66,83.7,112.4,78.3,-0.04,5.85,104.5,98.6,5.85
